order_id,user_account_id,video_genre,playback_duration_minutes,order_status,order_date,quarantine_reason
3,USR-000165,DOCUMENTARY,27.18,COMPLETED,   ,invalid_or_missing_order_date
9,USR-000614,HORROR,12.64,COMPLETED,not_a_date,invalid_or_missing_order_date
14,USR-000431,THRILLER,0.0,COMPLETED,2024-09-23 06:50:49,non_positive_playback_duration
27,USR--00012,K DRAMA,0.0,COMPLETED,2025-11-11 03:38:26,non_positive_playback_duration
48,USR-001415,THRILLER,31.68,COMPLETED,   ,invalid_or_missing_order_date
80,   ,THRILLER,14.67,COMPLETED,2026-07-31 01:52:38,missing_user_account_id
131,,SCI FI,50.23,COMPLETED,1970-01-01 00:00:00,missing_user_account_id
208,USR-001277,HORROR,999999.99,CANCELLED,2026-05-19 19:54:59,implausible_playback_duration
222,USR-001463,DRAMA,,COMPLETED,2026-03-06 22:47:55,missing_playback_duration
230,USR-000275,MUSICAL,56.83,UNKNOWN,not_a_date,invalid_or_missing_order_date
249,   ,COMEDY,171.9,COMPLETED,2023-03-10 17:15:53,missing_user_account_id
261,USR-000780,MUSICAL,,COMPLETED,2024-02-11 07:43:27,missing_playback_duration
263,USR-000848,COMEDY,-47.32,COMPLETED,2024-02-10 02:21:48,non_positive_playback_duration
272,USR-000813,DRAMA,999999.99,COMPLETED,2025-05-27 16:48:29,implausible_playback_duration
277,USR-001113,COMEDY,,COMPLETED,2023-01-25 07:46:33,missing_playback_duration
284,USR-000739,HORROR,,COMPLETED,2024-11-21 20:57:17,missing_playback_duration
285,USR-000210,SCI FI,999999.99,COMPLETED,2025-05-15 05:54:25,implausible_playback_duration
291,USR-000902,K DRAMA,0.0,COMPLETED,2024-04-11 17:02:21,non_positive_playback_duration
309,USR-001309,K DRAMA,106.64,COMPLETED,   ,invalid_or_missing_order_date
373,USR-000061,FANTASY,67.55,ERROR,0000-00-00,invalid_or_missing_order_date
380,USR-000356,DOCUMENTARY,,COMPLETED,2025-07-07 23:02:54,missing_playback_duration
397,,K DRAMA,399.35,COMPLETED,2025-04-19 01:20:08,missing_user_account_id
398,USR-000610,THRILLER,0.0,COMPLETED,2025-05-03 20:54:29,non_positive_playback_duration
414,USR-000763,ACTION,,COMPLETED,2024-04-28 01:01:48,missing_playback_duration
450,,SPORTS,27.8,COMPLETED,2024-07-10 00:17:35,missing_user_account_id
457,USR-000375,HORROR,999999.99,COMPLETED,2024-02-27 06:40:19,implausible_playback_duration
516,USR-000626,SPORTS,0.0,COMPLETED,2023-05-08 08:12:02,non_positive_playback_duration
542,USR-000015,FANTASY,31.26,COMPLETED,2026-08-20T10:15:00Z-broken,invalid_or_missing_order_date
575,USR-000740,ANIME,,COMPLETED,08/20/2026,missing_playback_duration
586,USR-000277,DOCUMENTARY,0.0,REFUNDED,2025-03-24 03:59:45,non_positive_playback_duration
648,0000,DRAMA,999999.99,COMPLETED,2025-05-20 23:56:47,implausible_playback_duration
